,ax_mean,ay_mean,az_mean,aT_mean,ax_ad_mean,ay_ad_mean,az_ad_mean,aT_ad_mean,ax_min,ay_min,az_min,aT_min,ax_max,ay_max,az_max,aT_max,ax_std,ay_std,az_std,aT_std,ax_median,ay_median,az_median,aT_median,ax_ad_median,ay_ad_median,az_ad_median,aT_ad_median,ax_mm_diff,ay_mm_diff,az_mm_diff,aT_mm_diff,ax_iqr,ay_iqr,az_iqr,aT_iqr,ax_pos_count,ay_pos_count,az_pos_count,aT_pos_count,ax_neg_count,ay_neg_count,az_neg_count,aT_neg_count,ax_peaks,ay_peaks,az_peaks,aT_peaks,ax_kurtosis,ay_kurtosis,az_kurtosis,aT_kurtosis,ax_skewness,ay_skewness,az_skewness,aT_skewness,ax_energy,ay_energy,az_energy,aT_energy,id,sex,sensor_pos,activity
171,-4.313055380760922,1.3052220142545234,-0.4630835781922667,9.09180059515002,5.00634397620597,1.7915754923906615,1.0393358954217837,7.831815132760726,-20.902140209918624,-0.8538413106130222,-3.2743971617828094,1.0175816951503225,1.43854302093001,6.4609189544085295,1.6895654933225681,21.135016340831733,6.730809559826283,2.1951919236434096,1.2957359528732835,8.294434484969518,-2.0636080097413214,0.2663352570962918,-0.1948085138366758,4.382562483411385,2.940985290193085,0.5079264037217148,0.89662030438167,3.3078662052062375,22.340683230848633,7.314760265021552,4.9639626551053775,20.11743464568141,6.100862675480449,2.2432436453559736,1.9662825504562924,17.889145384975283,34,62,34,100,66,38,66,0,66,30,65,42,0.8682013268129105,0.1344635350361001,-0.5428235144552955,-1.6819522838815952,-1.446556956116631,1.2703738448257402,-0.47830628358862953,0.38138061349218816,63.90624404815961,6.522472088123887,1.8933780599597896,151.45848148742178,5,M,leg,walk
172,-0.5517022416365134,1.4738938008391822,-0.30302534041987095,4.790199551703307,2.1696636835989813,1.5852246924595412,0.8013079856082215,4.187796689601377,-5.541095003577304,-0.2648412292583987,-3.2743971617828094,1.0175816951503225,3.379513947010012,6.4609189544085295,1.6498719725118296,21.070724397620545,2.537163620619556,1.9953774571833025,1.1475302068684434,5.666408466980753,0.6500213985691519,0.6616195618443985,-0.13991945995745336,2.0428771762693376,0.9063346121162672,0.8483324599127298,0.42229929433117336,0.9209302361890771,8.920608950587315,6.725760183666928,4.924269134294639,20.053142702470222,3.7664952044351145,2.4011713796392584,0.8397130782227671,3.3978766285050854,59,72,38,100,41,28,62,0,64,35,70,25,-0.7810554577073274,0.5591068473655088,0.8698210271447664,1.820433038841979,-0.709481442921821,1.3023800153522427,-1.1775026633319818,1.7696224971918053,6.741574601222086,6.153894132787472,1.4086499326121116,55.05419665980975,5,M,leg,walk
173,1.7859324740925806,2.2309991260735282,-0.2195942362948513,3.8301129712100157,2.229745824193564,2.489722346417739,0.6013775127890764,2.818979981492017,-4.522152711457051,-0.2648412292583987,-3.3537721937156615,1.0175816951503225,10.648737300809524,11.240440685759213,1.0401952104227568,15.711528055076622,3.058109895261584,3.1552087357641976,0.9035892645747147,3.7092431023300714,1.2462441706608411,0.7119135312547712,-0.12882313584894,2.0428771762693376,1.2479252188217917,0.9306089577875261,0.3114774655267899,0.9209302361890771,15.170890012266575,11.505281915017612,4.393967404138419,14.693946359926299,2.7530826862836353,3.446631544600952,0.7243281116358855,3.5790482482584682,81,72,39,100,19,28,61,0,35,33,61,33,0.8815621336185004,0.9706493874209139,2.5587899446132765,1.9205108321938065,0.6417070653908126,1.4370540811520751,-1.538111466809413,1.673015105970486,12.54159093351526,14.932699266783551,0.8646951876685927,28.42824976441443,5,M,leg,walk
174,4.436066956419552,4.261827080286122,-1.0880720966720785,6.932581389684462,3.1504108942702067,3.4301130406866944,1.3297877829804141,5.187605874790133,0.6376328365698943,-0.23706230145745139,-4.0245396812152,1.0175816951503225,11.949755058111087,11.66799757488347,0.624941646015114,17.099747912422806,3.699453896452257,3.945101159043531,1.506588876286472,5.762363340327995,3.4291447672542406,2.9611981769028963,-0.2749805521523701,4.975913332870292,2.3122378215799086,2.6279073096111314,0.6184345486169187,3.7923843049056796,11.312122221541193,11.905059876340921,4.649481327230314,16.082166217272484,5.736409870334358,6.828547407189196,2.2518654387660884,10.788908597239192,100,92,21,100,0,8,79,0,40,41,64,41,-0.7841787518953565,-1.0544005562545067,-0.9123573962457767,-1.3114184748111675,0.7639696352680252,0.607994187831607,-0.7835551800303127,0.5016039057681885,33.364649173813206,33.72699321734674,3.4537109297065074,81.26551599055534,5,M,leg,walk
175,5.5618159727164205,3.711329154745843,-1.0944517920094032,8.502091008387245,2.6461123228237113,3.8971850232844547,1.3362844521713442,4.238401259442856,0.6376328365698943,-3.0180918068612046,-4.0245396812152,1.0484320823115556,11.949755058111087,11.66799757488347,0.624941646015114,17.099747912422806,3.2429200480631177,4.615854751611633,1.5293755515531529,4.91570013266749,5.286553368573182,2.9611981769028963,-0.3884378810195268,8.286936074876548,1.9853672183651156,3.6085926719692782,0.8351193920845845,4.026459859922592,11.312122221541193,14.686089381744676,4.649481327230314,16.05131583011125,3.9940798835914766,6.777936267775659,2.4999976959978176,7.8912358828650255,100,78,31,100,0,22,69,0,47,44,61,48,-0.7312016034474689,-1.0807427932820157,-0.9896068399780429,-1.1366213862582684,0.3679342738912332,0.2206389574638185,-0.6901592402923798,0.21607649425117717,41.45032735249321,35.080079182842184,3.5368143027211043,96.44965930920638,5,M,leg,walk
176,5.111836210044466,3.361715761174769,-1.0608310712712532,8.504447394692534,3.089601291915617,4.277344846748369,1.3625086143471008,4.2361391285897785,-5.120375834207029,-3.0180918068612046,-4.0245396812152,1.249265373595064,11.949755058111087,11.66799757488347,0.591802950306318,17.099747912422806,3.948672217233652,4.9032966062713745,1.550128314831061,4.934234280291454,5.286553368573182,3.4492034738366426,-0.3884378810195268,8.286936074876548,2.234049328185107,4.713975790747973,0.8150503223168637,3.9455245859861843,17.070130892318115,14.686089381744676,4.616342631521517,15.850482538827743,4.501804800273225,9.076292281555292,2.581883151560908,7.684850184424708,90,65,41,100,10,35,59,0,53,51,61,48,-0.20774459454292593,-1.287748517102001,-1.0208544777895734,-1.131160540762689,-0.2847971884260873,0.2555685885213073,-0.7040959456715589,0.19266938945996356,41.7228817174747,35.34345046800324,3.5282603542155,96.67229342189594,5,M,leg,walk
177,0.2148515199477009,2.9522576266265697,-0.9905589703922292,9.925733938862779,7.490269492196911,3.877783104133714,1.1670390774753665,4.961664327676443,-17.44770614363242,-3.0180918068612046,-4.0245396812152,1.249265373595064,11.949755058111087,11.66799757488347,0.5192336578629385,18.12084660775282,9.061950778594971,4.5128163292263315,1.43702826517474,5.705482990836002,2.66405428802935,3.086983744399533,-0.5229030994466013,10.166073725306141,4.530962367971708,3.66959496928091,0.7334865168727861,5.71277796645043,29.397461201743507,14.686089381744676,4.543773339078138,16.871581234157755,12.053819977991392,7.8254517802832195,1.645842964667591,11.261543149982185,65,65,34,100,35,35,66,0,64,52,61,52,-0.7037798972916578,-1.0006138957035926,-0.39971516424117715,-1.3812290104045442,-0.7360391694952879,0.31550207828049254,-0.9621704165149199,-0.08815113726390934,82.16511308930185,29.081336315306565,3.0462573087356355,131.07273038381135,5,M,leg,walk
178,-3.822836685208212,1.814947888359226,0.1749848396483049,9.143163490623628,6.617057880114143,2.83538770360199,0.7726324764356716,4.3175397478227335,-17.44770614363242,-3.0180918068612046,-1.4305751336795225,1.249265373595064,7.23538745626452,6.78611552902729,2.6421354504707564,18.12084660775282,7.764885800833148,3.163328299607204,1.0382513822057162,5.238882595928197,-4.604829462180184,2.958906140098831,0.13832953332203668,9.3460917166089,6.675682992568895,2.6715294238372627,0.501219359751996,4.408790848875885,24.68309359989694,9.804207335888496,4.072710584150279,16.871581234157755,12.410975265467744,5.475594366569431,1.0731120693447662,8.446215515717096,40,65,56,100,60,35,44,0,48,57,46,51,-1.127463392189095,-1.3311644527280313,0.12087777336354932,-1.068621055485239,-0.2637737675821245,-0.17307973573114885,0.8088950476286775,0.11929797650326852,74.90753182175393,13.30068176855542,1.108585626758823,111.04332947019219,5,M,leg,walk
179,-6.203239660851024,2.5406024561559093,0.03495099294557179,8.46154829905846,4.566553705991403,2.0216514289600833,0.9645170031643981,4.772006786170112,-17.44770614363242,-2.278875937480455,-2.251720931931323,1.249265373595064,2.5438325915789504,6.78611552902729,2.6421354504707564,18.12084660775282,5.676154038398211,2.414428249844728,1.234485992675415,5.523311954993987,-5.047163395207452,2.958906140098831,0.13832953332203668,7.744889695979044,3.3310774894431794,1.8933538252272613,0.7867223708040072,4.875026555418991,19.99153873521137,9.064991466507745,4.893856382402079,16.871581234157755,7.383378993556238,3.5376768255656814,1.4566183729775548,9.838145077595307,15,87,54,100,85,13,46,0,66,58,54,47,-0.6469943439282493,-0.8121694584861223,-0.35729219690067904,-1.200713349343757,-0.5715625993309301,-0.09973591529326273,0.27745736869726556,0.33866916288990173,70.69890695757945,12.284124613873717,1.5251772380196862,102.10477456947864,5,M,leg,walk
180,-6.127710569457909,2.4732315286441415,-0.02696130960170462,8.01027887171854,4.617913488138719,1.9526774051300206,0.9983201565334199,5.202990870998938,-17.44770614363242,0.1072548429758679,-2.251720931931323,0.6201038707949585,0.8524356180731606,6.78611552902729,2.6421354504707564,18.12084660775282,5.661337990925247,2.2154320279861466,1.2470070647450253,5.981881580435756,-5.006952012528388,2.8183064934744397,-0.28730498089317064,7.744889695979044,4.166486780853029,2.4750127799252573,0.843623148925991,5.819108552070757,18.300141761705582,6.678860686051422,4.893856382402079,17.50074273695786,8.553910321254289,3.676271383960576,1.6745208045948217,11.259454543688648,17,100,41,100,83,0,59,0,66,52,41,49,-0.7176508245354016,-1.0737423071202452,-0.3847011661856534,-1.2888064487370885,-0.6666484395031002,0.4469004418296224,0.4224647980333398,0.2475185169234276,69.5995846705397,11.025013264906248,1.5557535317394429,99.947474845057,5,M,leg,walk
