time,wx (rad/s),wy (rad/s),wz (rad/s)
0.397046,-0.01,-0.02,0.05
0.399385,-0.01,-0.02,0.05
0.402041,-0.01,-0.02,0.05
0.404151,-0.01,-0.02,0.05
0.406472,-0.01,-0.02,0.05
0.409714,-0.01,-0.02,0.04
0.411221,-0.01,-0.02,0.04
0.413631,-0.01,-0.01,0.04
0.416084,-0.01,-0.01,0.04
0.418506,-0.01,0.00,0.03
0.420811,-0.01,0.01,0.03
0.423098,-0.02,0.01,0.02
0.425422,-0.02,0.02,0.02
0.430195,-0.02,0.02,0.01
0.430448,-0.02,0.02,0.00
0.432554,-0.03,0.02,-0.01
0.435095,-0.03,0.03,-0.02
0.437440,-0.03,0.04,-0.03
0.439955,-0.03,0.04,-0.04
0.442096,-0.03,0.04,-0.06
0.444623,-0.03,0.04,-0.07
0.446865,-0.03,0.04,-0.09
0.449750,-0.03,0.04,-0.11
0.452166,-0.03,0.04,-0.13
0.454037,-0.03,0.04,-0.15
0.456340,-0.03,0.05,-0.17
0.458842,-0.03,0.06,-0.20
0.461081,-0.03,0.06,-0.22
0.463707,-0.03,0.07,-0.24
0.465926,-0.03,0.08,-0.26
0.469550,-0.03,0.09,-0.27
0.470484,-0.04,0.08,-0.29
0.472899,-0.04,0.08,-0.31
0.475221,-0.04,0.07,-0.33
0.477790,-0.04,0.07,-0.35
0.480030,-0.04,0.07,-0.37
0.482503,-0.05,0.08,-0.39
0.484900,-0.05,0.08,-0.42
0.487142,-0.05,0.08,-0.44
0.489730,-0.05,0.07,-0.47
0.491901,-0.05,0.06,-0.49
0.494264,-0.05,0.03,-0.52
0.496699,-0.05,-0.01,-0.54
0.499017,-0.05,-0.05,-0.56
0.501817,-0.05,-0.08,-0.58
0.504456,-0.04,-0.13,-0.61
0.506760,-0.03,-0.17,-0.63
0.510490,-0.03,-0.21,-0.66
0.511031,-0.02,-0.25,-0.69
0.513373,-0.02,-0.28,-0.73
0.515710,-0.01,-0.30,-0.78
0.518062,0.00,-0.31,-0.83
0.520251,0.02,-0.31,-0.89
0.522533,0.04,-0.31,-0.96
0.525032,0.06,-0.29,-1.03
0.527333,0.09,-0.27,-1.11
0.531130,0.12,-0.24,-1.20
0.534073,0.16,-0.21,-1.28
0.534832,0.19,-0.15,-1.35
0.537009,0.22,-0.08,-1.42
0.539427,0.26,0.00,-1.48
0.541680,0.29,0.10,-1.54
0.544035,0.31,0.19,-1.59
0.546428,0.33,0.27,-1.63
0.550642,0.36,0.35,-1.67
0.551266,0.39,0.41,-1.71
0.553596,0.42,0.46,-1.74
0.556512,0.46,0.49,-1.77
0.558419,0.49,0.50,-1.80
0.560592,0.52,0.50,-1.81
0.563106,0.55,0.50,-1.83
0.565469,0.58,0.49,-1.84
0.568904,0.63,0.46,-1.86
0.570148,0.67,0.39,-1.88
0.572716,0.74,0.28,-1.93
0.574784,0.85,0.12,-1.99
0.577222,0.98,-0.08,-2.07
0.579704,1.08,-0.29,-2.15
0.582180,1.15,-0.47,-2.24
0.584487,1.19,-0.60,-2.34
0.586661,1.22,-0.67,-2.45
0.589680,1.24,-0.69,-2.57
0.591530,1.24,-0.64,-2.68
0.593845,1.20,-0.57,-2.77
0.596361,1.14,-0.53,-2.85
0.598741,1.09,-0.58,-2.90
0.601066,1.07,-0.75,-2.93
0.603281,1.07,-0.99,-2.96
0.605877,1.08,-1.26,-3.01
0.609707,1.09,-1.51,-3.07
0.610438,1.08,-1.69,-3.14
0.613259,1.07,-1.80,-3.22
0.615843,1.05,-1.84,-3.31
0.617689,1.03,-1.85,-3.39
0.620400,1.02,-1.85,-3.48
0.622610,1.01,-1.85,-3.56
0.625155,1.00,-1.86,-3.63
0.627050,0.99,-1.89,-3.70
0.630909,0.99,-1.94,-3.77
0.631775,0.97,-1.99,-3.83
0.634245,0.96,-2.05,-3.90
0.636893,0.95,-2.11,-3.96
0.639023,0.93,-2.18,-4.02
0.641230,0.91,-2.26,-4.08
0.643541,0.88,-2.36,-4.14
0.646490,0.85,-2.45,-4.20
0.649776,0.81,-2.54,-4.25
0.650775,0.78,-2.63,-4.30
0.653173,0.74,-2.69,-4.35
0.655457,0.70,-2.73,-4.39
0.657866,0.65,-2.75,-4.42
0.660167,0.59,-2.76,-4.44
0.663158,0.53,-2.77,-4.46
0.665071,0.47,-2.79,-4.45
0.667569,0.40,-2.83,-4.44
0.669975,0.34,-2.88,-4.40
0.672139,0.28,-2.92,-4.36
0.674396,0.22,-2.93,-4.31
0.676966,0.16,-2.89,-4.25
0.679313,0.10,-2.78,-4.18
0.681750,0.05,-2.62,-4.10
0.684047,0.01,-2.42,-4.01
0.686375,-0.04,-2.20,-3.91
0.689863,-0.08,-1.99,-3.81
0.691485,-0.11,-1.79,-3.72
0.694665,-0.14,-1.61,-3.63
0.696227,-0.16,-1.45,-3.53
0.698325,-0.17,-1.31,-3.42
0.700581,-0.17,-1.16,-3.28
0.702955,-0.17,-0.99,-3.13
0.705319,-0.17,-0.80,-2.95
0.707781,-0.18,-0.60,-2.75
0.710192,-0.19,-0.38,-2.53
0.712564,-0.19,-0.16,-2.31
0.715102,-0.18,0.02,-2.09
0.717279,-0.16,0.17,-1.88
0.719649,-0.12,0.25,-1.68
0.721947,-0.03,0.41,-1.52
0.724209,0.02,0.73,-1.40
0.726458,-0.01,1.11,-1.32
0.730939,-0.11,1.43,-1.27
0.731327,-0.31,1.65,-1.20
0.733763,-0.54,1.69,-1.10
0.736256,-0.72,1.54,-0.94
0.738423,-0.78,1.15,-0.70
0.740738,-0.73,0.58,-0.36
0.743247,-0.64,-0.02,0.09
0.745581,-0.56,-0.44,0.59
0.749193,-0.49,-0.52,1.03
0.750484,-0.44,-0.44,1.29
0.752872,-0.43,-0.37,1.35
0.755472,-0.47,-0.05,1.22
0.757825,-0.60,0.97,0.95
0.759780,-0.73,2.58,0.57
0.762319,-0.78,4.12,-0.04
0.765010,-0.73,5.22,-0.70
0.767329,-0.60,5.84,-1.18
0.770183,-0.48,5.98,-1.46
0.771709,-0.36,5.67,-1.50
0.773932,-0.27,5.12,-1.44
0.776312,-0.21,4.52,-1.38
0.778912,-0.17,3.93,-1.32
0.782056,-0.12,3.33,-1.30
0.783801,-0.04,2.68,-1.28
0.785961,0.06,1.96,-1.22
0.789425,0.18,1.22,-1.11
0.790620,0.25,0.53,-0.94
0.793787,0.29,-0.05,-0.76
0.795533,0.31,-0.45,-0.61
0.797877,0.32,-0.66,-0.50
0.800159,0.35,-0.74,-0.45
0.803839,0.38,-0.77,-0.45
0.804870,0.42,-0.83,-0.49
0.807162,0.46,-0.95,-0.57
0.809770,0.47,-1.12,-0.66
0.811973,0.46,-1.28,-0.77
0.814377,0.45,-1.40,-0.88
0.816770,0.42,-1.42,-0.97
0.819206,0.39,-1.35,-1.05
0.821432,0.35,-1.21,-1.11
0.823829,0.31,-1.03,-1.16
0.826161,0.27,-0.86,-1.22
0.834382,0.25,-0.74,-1.28
0.834594,0.23,-0.64,-1.33
0.834685,0.22,-0.58,-1.37
0.835688,0.20,-0.54,-1.38
0.838098,0.18,-0.51,-1.39
0.840252,0.15,-0.46,-1.39
0.842636,0.14,-0.39,-1.38
0.845136,0.11,-0.29,-1.37
0.847415,0.09,-0.18,-1.35
0.850061,0.07,-0.09,-1.34
0.852177,0.04,-0.01,-1.33
0.854525,0.02,0.04,-1.30
0.856933,-0.00,0.07,-1.27
0.859317,-0.01,0.09,-1.23
0.861780,-0.02,0.08,-1.19
0.864008,-0.01,0.06,-1.13
0.866391,0.01,0.01,-1.08
0.869862,0.02,-0.06,-1.02
0.871251,0.04,-0.15,-0.97
0.873584,0.05,-0.26,-0.90
0.875959,0.05,-0.37,-0.83
0.878279,0.06,-0.48,-0.76
0.880635,0.06,-0.57,-0.69
0.882945,0.04,-0.64,-0.63
